Main category;EMIF-AD category;Variable name EMIF-AD;Variable name used;Variable Description ;Unity;Categories;Range or possible values;Type;Units;Visit independent;Specific information for harmonisation;Domain;Domain Vocabulary;Concept Id;Concept Id Link;Unit;Unit Concept Id;Unit Vocabulary;Values;Values Concept Id;Values Vocabulary;Info;Date;Comment
General;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data_saved;"CSV;excel;SPSS;SAS;R;Phyton;other";factor;1 = CSV, 2 = excel, 3 = SPSS, 4 = SAS, 5 = R, 6 = Phyton, 7 = other;"1;7";;;Yes;;;;;;;;;;;;;;
;;;Format_data;In long or in wide format;factor;1 = long, 0 = wide;;;;Yes;;;;;;;;;;;;;;
;;;Cohort;Name of cohort;factor;1 = ADC, 2 = LASA, 3 = Maastricht Study, 4 = SMART, 5 = LLS, 6 = Rotterdam Study, 7 = Lifelines, 8 = EMIF twins, 9 = EMIF 90+, 10 = DCS;"0;10";;;Yes;;;;;;;;;;;;;;
;;ID;ID;Participant ID;Character;;;;;Yes;;;;;;;;;;;;;;
Demographics;Subject characteristics & demograhics;;;;;;;;;;;;;;;;;;;;;;;
;Demographics;Birth year;Birth_year;Year of birth ;numeric;;>=1900;int;;Yes;;Person;;;;;;;;;;;;
;Demographics;Age ;Age;Age at  assessment;numeric;;>=0;num;years;No;;Observation;SNOMED;4265453;Athena-4265453;year;9448;UCUM;;;;;date_age;
;Demographics;Sex;Sex;Sex;factor;"1= female; 0 = male";"0;1;_";int;;Yes;;Person;;;;;;;"male;female;-";"8507;8532;8551";GENDER;;;
;Subject characteristics;Education_years;Education_years;Education level in years;numeric;;>=0;num;years;Yes;Recode Verhaage score into education in years ('1'=5) ('2'=6) ('3'=8) ('4'=9) ('5'=10) ('6'=13) ('7'=17). CBS categories can also be converted to year;Observation;;2000000001;;year;9448;UCUM;;;;;;
;Subject characteristics;;Education_category;Education level categories (2 categories);factor;"1 = high; 0 = low";"0;1";int;;Yes;"Low: years <  7; High: years >= 7";Observation;SNOMED;4171617;Athena-4171617;;;;"low;high";"4267416;4328749";SNOMED;;;
;Subject characteristics;;Education_category;Education level categories;factor;;;;;;Alternatively, include other categories according to availability in cohort;;;;;;;;;;;;;
;;;Education_category_3;Education level categories (3 categories);factor;"2 = high; 1 = medium; 0 = low";"0;1;2";int;;;"Low(1) = No education, (un)completed primary education, or lower vocational education; Medium(2) = Intermediate vocational education or higher secondary education; High(3) = Higher vocational education or university education.";Observation;;2000000077;;;;;"low;medium;high";"4267416;4152518;4328749";;;;
;;;Education_category_verhage;Education category Verhaage;factor;;"1;2;3;4;5;6;7";int;;;"1. Less than 6 years of primary education
2. Finished primary education
3. Primary education and less than 2 years of low-level secondary education
4. Finished low-level secondary education
5. Finished average-level secondary education
6. Finished high level secondary education 
7. University degree";Observation;;2000000078;;;;;"1;2;3;4;5;6;7";;;;;
Dementia;Clinical information & cognitive screening tests;;;;;;;;;;;;;;;;;;;;;;;
;Diagnoses;Date Diagnosis;Date_diagnosis;Date of diagnosis ;date;;;date;;No;;;;;;;;;;;;;;
;;;Diagnosis;Diagnosis ;factor;"1 = normal cognition; 2 = subjective cognitive decline; 3 = mild cognitive impairment; 4 dementia";;;;No;;;;;;;;;;;;;;
;;;normal_cognition_diagnosis;Normal Cognition Diagnosis;;;"1;0";bool;;No;;Condition;SNOMED;42710016;Athena-42710016;;;;"yes;no";"4188539;_";SNOMED;;Date_diagnosis;
;;Subjective Cognitive Impairment;scd_diagnosis;Subjective Cognitive Decline;;;"1;0";bool;;No;;Condition;;2000000002;;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;mci_diagnosis;Mild cognitive Impairment;;;"1;0";bool;;No;;Condition;SNOMED;4297400;Athena-4297400;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;dementia_diagnosis;Dementia diagnosis;;;"1;0";bool;;No;;Condition;SNOMED;4182210;Athena-4182210;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;no_normal_cognition_diagnosis;Normal Cognition Diagnosis;;;"1;0";bool;;No;;Observation;SNOMED;42710016;Athena-42710016;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_scd_diagnosis;Subjective Cognitive Decline;;;"1;0";bool;;No;;Observation;;2000000002;;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_mci_diagnosis;Mild cognitive Impairment;;;"1;0";bool;;No;;Observation;SNOMED;4297400;Athena-4297400;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_dementia_diagnosis;Dementia diagnosis;;;"1;0";bool;;No;;Observation;SNOMED;4182210;Athena-4182210;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;Dementia_type;Dementia type;factor;1 =  Alzheimer's dementia, 2 = Lewy body dementia, 3 = Vascular dementia, 4 = Frontotemporal dementia, 5 = Parkinson's dementia, 6 = Semantic dementia, 7 = Corticobasal syndrome, 8 = Progressive supranuclear palsey, 9 = Progressive non-fluent aphsia, 10 = Creutzfeldt-Jakob disease;;;;No;;;;;;;;;;;;;;
;;;alzheimers_dementia;Alzheimer's dementia;;;"1;0";bool;;No;;Condition;SNOMED;378419;Athena-378419;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;lewy_body_dementia;Lewy body dementia;;;"1;0";bool;;No;;Condition;SNOMED;380701;Athena-380701;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;vascular_dementia;Vascular dementia;;;"1;0";bool;;No;;Condition;SNOMED;443605;Athena-443605;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;frontotemporal_dementia;Frontotemporal dementia;;;"1;0";bool;;No;;Condition;SNOMED;4043378;Athena-4043378;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;parkinsons_dementia;Parkinson's dementia;;;"1;0";bool;;No;;Condition;SNOMED;4314734;Athena-4314734;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;semantic_dementia;Semantic dementia;;;"1;0";bool;;No;;Condition;SNOMED;4046091;Athena-4046091;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;corticobasal_syndrome;Corticobasal syndrome;;;"1;0";bool;;No;;Condition;SNOMED;4077904;Athena-4077904;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;psp;Progressive supranuclear palsey;;;"1;0";bool;;No;;Condition;SNOMED;40391011;Athena-40391011;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;pnfa;Progressive non-fluent aphasia;;;"1;0";bool;;No;;Condition;SNOMED;37396465;Athena-37396465;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;cjd;Creutzfeldt-Jakob disease;;;"1;0";bool;;No;;Condition;SNOMED;372241;Athena-372241;;;;"yes;no";"4188539;_";;;Date_diagnosis;
;;;no_alzheimers_dementia;Alzheimer's dementia;;;"1;0";bool;;No;;Observation;SNOMED;378419;Athena-378419;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_lewy_body_dementia;Lewy body dementia;;;"1;0";bool;;No;;Observation;SNOMED;380701;Athena-380701;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_vascular_dementia;Vascular dementia;;;"1;0";bool;;No;;Observation;SNOMED;443605;Athena-443605;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_frontotemporal_dementia;Frontotemporal dementia;;;"1;0";bool;;No;;Observation;SNOMED;4043378;Athena-4043378;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_parkinsons_dementia;Parkinson's dementia;;;"1;0";bool;;No;;Observation;SNOMED;4314734;Athena-4314734;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_semantic_dementia;Semantic dementia;;;"1;0";bool;;No;;Observation;SNOMED;4046091;Athena-4046091;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_corticobasal_syndrome;Corticobasal syndrome;;;"1;0";bool;;No;;Observation;SNOMED;4077904;Athena-4077904;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_psp;Progressive supranuclear palsey;;;"1;0";bool;;No;;Observation;SNOMED;40391011;Athena-40391011;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_pnfa;Progressive non-fluent aphasia;;;"1;0";bool;;No;;Observation;SNOMED;37396465;Athena-37396465;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;;;no_cjd;Creutzfeldt-Jakob disease;;;"1;0";bool;;No;;Observation;SNOMED;372241;Athena-372241;;;;"yes;no";"_;4132135";;;Date_diagnosis;
;Dates rating scales;Date of rating scales assessment;Date_CDR;Date Clinical Dementia Rating Scale assessment;date;;;date;;No;;;;;;;;;;;;;;
;Dementia rating scales;CDR total;CDR_total;Clinical Dementia Rating total score;numeric;;>=0;num;;No;;Observation;SNOMED;36714811;Athena-36714811;;;;;;;;Date_CDR;
;;CDR sum of boxes;CDR_sum_of_boxes;Clinical Dementia Rating sum of boxes;numeric;;>=0;num;;No;;Observation;;2000000003;;;;;;;;;Date_CDR;
Mortality;;;;;;;;;;;;;;;;;;;;;;;;
;;;Mort_Date;Date of death;date;;;date;;Yes;;Person;;;;;;;;;;;;
;;;Live_Date;Last known date to be alive;date;;;date;;Yes;;Observation;;2000000004;;;;;;;;;;
;;;Mort;Mortality;factor;"1 = yes; 0 = no";"1;0";bool;;Yes;;Person;;;;;;;"true;false";;;;;
Cardiovascular;Clinical information & Laboratory test results;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;Date_vitals;Date assessment vital signs;date;;;date;;No;;;;;;;;;;;;;;
;Vital Signs;SBP;SBP;Systolic blood pressure ;numeric;;>30;num;mmHg;No;;Measurement;SNOMED;4152194;Athena-4152194;mmHg;8876;UCUM;;;;;Date_vitals;
;Vital Signs;DBP;DBP;Diastolic blood pressure;numeric;;>30;num;mmHg;No;;Measurement;SNOMED;4154790;Athena-4154790;mmHg;8876;UCUM;;;;;Date_vitals;
;Vital Signs;Body Mass Index;BMI;"BMI: weight;(bodylength_cm;100)^2)";numeric;;>0;num;"kg;m^2";No;;Observation;SNOMED;4245997;Athena-4245997;kg/m2;9531;UCUM;;;;;Date_vitals;
;Vital Signs;Weight;Weight;Weight;numeric;;>0;num;kg;No;;Observation;SNOMED;37111521;Athena-37111521;kg;9529;UCUM;;;;;Date_vitals;
;Vital Signs;Body length;Height;Height ;numeric;;>0;num;cm;No;;Observation;SNOMED;4087492;Athena-4087492;cm;8582;UCUM;;;;;Date_vitals;
;Vital Signs;Waist;Waist;Waist;numeric;;>0;num;cm;No;;Observation;SNOMED;4172830;Athena-4172830;cm;8582;UCUM;;;;;Date_vitals;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;Date_comorbidities;Date assessment comorbidities;date;;;date;;;;;;;;;;;;;;;;
;Cardiovascular Risk Factors;Hypertension;Hypertension;History of hypertension;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;4058286;Athena-4058286;;;;"yes;no";"4188539;4188540";;;Date_comorbidities;
;Cardiovascular Risk Factors;Hypercholesterolemia;Hypercholesterolemia;History of Hypercholesterolemia ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;4185909;Athena-4185909;;;;"yes;no";"4188539;4188540";;;Date_comorbidities;
;Endocrine disorders;Diabetes_Mellitus;DM_1;Diabetes Mellitus type 1 ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;201254;Athena-201254;;;;"yes;no";"4188539;_";;;Date_comorbidities;
;Endocrine disorders;Diabetes_Mellitus;DM_2;Diabetes Mellitus type 2;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;201826;Athena-201826;;;;"yes;no";"4188539;_";;;Date_comorbidities;
;Endocrine disorders;Diabetes_Mellitus;DM;Diabetes Mellitus;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;201820;Athena-201820;;;;"yes;no";"4188539;_";;;Date_comorbidities;
;Cardiovascular Disorders;Myocardial infarction ;Myocardial_infarction;Myocardial infarction ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;4329847;Athena-4329847;;;;"yes;no";"4188539;_";;;Date_comorbidities;
;Other cardiac disorders ;Heart failure ;Heart_failure;Heart failure ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;316139;Athena-316139;;;;"yes;no";"4188539;_";;;Date_comorbidities;
;Cerebrovascular disorders;Stroke;Stroke;Stroke ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;381316;Athena-381316;;;;"yes;no";"4188539;_";;;Date_comorbidities;
;Endocrine disorders;Diabetes_Mellitus;no_DM_1;Diabetes Mellitus type 1 ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;201254;Athena-201254;;;;"yes;no";"_;4132135";;;Date_comorbidities;
;Endocrine disorders;Diabetes_Mellitus;no_DM_2;Diabetes Mellitus type 2;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;201826;Athena-201826;;;;"yes;no";"_;4132135";;;Date_comorbidities;
;Endocrine disorders;Diabetes_Mellitus;no_DM;Diabetes Mellitus;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;201820;Athena-201820;;;;"yes;no";"_;4132135";;;Date_comorbidities;
;Cardiovascular Disorders;Myocardial infarction ;no_Myocardial_infarction;Myocardial infarction ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;4329847;Athena-4329847;;;;"yes;no";"_;4132135";;;Date_comorbidities;
;Cardiovascular Disorders;;Cardiovascular_disease;History of Cardiovascular Disease;factor;"1 = yes; 0 = no";"1;0";bool;;No;"Reported to have ever had at least one of the following conditions/treatments:
- myocardial infarction
- cerebrovascular infarction and/or hemorrhage
- percutaneous artery angioplasty of the coronary arteries, abdominal arteries, peripheral arteries or carotid artery
- vascular surgery on coronary arteries, abdominal arteries, peripheral arteries or carotid artery.";Observation;SNOMED;4144290;Athena-4144290;;;;"yes;no";"4188539;4188540";;;Date_comorbidities;
;Other cardiac disorders ;Heart failure ;no_Heart_failure;Heart failure ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;316139;Athena-316139;;;;"yes;no";"_;4132135";;;Date_comorbidities;
;Cerebrovascular disorders;Stroke;no_Stroke;Stroke ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;381316;Athena-381316;;;;"yes;no";"_;4132135";;;Date_comorbidities;
;Cardiovascular drugs;Anti-hypertensive drugs;Drugs_hypertension;Anti-hypertensive drugs;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;;2000000005;;;;;"yes;no";"4188539;4188540";;;Date_comorbidities;
;Cardiovascular drugs;Cholesterol-lowering Drugs;Drugs_hypercholesterolemia;Hypercholesterolemia medication;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;;2000000006;;;;;"yes;no";"4188539;4188540";;;Date_comorbidities;
;Hormonal therapy;Anti-diabetic drugs;Drugs_diabetes;Diabetes Mellitus  type 2 medication ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;;2000000007;;;;;"yes;no";"4188539;4188540";;;Date_comorbidities;
;;;;;;;;;;;;;;;;;;;;;;;;
;Blood dates;Date Blood Collection;Date_blood;Date blood collection;date; ;;date;;No;;;;;;;;;;;;;;
;Blood measures;Fasted glucose;Glucose_fasted;Fasted glucose blood;numeric;;>0;num;;No;;Measurement;SNOMED;4156660;Athena-4156660;;;;;;;;Date_blood;
;Blood measures;Non-fasted glucose ;Glucose_nonfasted;Non-fasted glucose blood;numeric;;>0;num;;No;;Measurement;;2000000008;;;;;;;;;Date_blood;
;Blood measures;;Glucose_abnormal;Glucose dichotomized;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;4042728;Athena-4042728;;;;"yes;no";"4188539;_";;Glucose_cutoff;Date_blood;
;Blood measures;;no_Glucose_abnormal;Glucose dichotomized;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;4042728;Athena-4042728;;;;"yes;no";"_;4132135";;Glucose_cutoff;Date_blood;
;Blood measures;;Glucose_cutoff;Cutoff used ;0<…, 1>=…;;;text;;No;;NA;;;;;;;;;;;Date_blood;
;Blood measures;HDL cholesterol;HDL;High density lipoprotein cholesterol;numeric;;>0;num;"mmol;L";No;;Measurement;SNOMED;4101713;Athena-4101713;mmol/L;8753;UCUM;;;;;Date_blood;
;Blood measures;LDL cholesterol ;LDL;Low density lipoprotein cholesterol;numeric;;>0;num;"mmol;L";No;;Measurement;SNOMED;4012479;Athena-4012479;mmol/L;8753;UCUM;;;;;Date_blood;
;Blood measures;;hdl_ratio;Total cholesterol-to-HDL cholesterol ratio;numeric;;>0;num;;No;;Measurement;SNOMED;4195214;Athena-4195214;;;;;;;;Date_blood;
;Blood measures;CRP;CRP;C-reactive protein;numeric;;>0;num;mg/L;No;;Measurement;SNOMED;4208414;Athena-4208414;mg/L;8751;UCUM;;;;;Date_blood;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;Date_habits;Date assessment alcohol and smoking habits;date;;;date;;No;;;;;;;;;;;;;;
;Alcohol use;Alcohol;Alcohol;Current alcohol use ;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;4074035;Athena-4074035;;;;"yes;no";"4188539;4188540";;;Date_habits;
;Smoking habits;Smoking;Smoking_behavior;"Current;past; never smoking ";factor;2 = current, 1 = past, 0 = never;"2;1;0";int;;No;;Observation;SNOMED;4275495;Athena-4275495;;;;"current;past;never";"4034855;4132507;763692";;;Date_habits;
;;;Smoker;Current smoker?;factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;4298794;Athena-4298794;;;;"yes;no";"4188539;4188540";;;Date_habits;
;Physical Activity;Physical Activity;physical_activity;Physical Activity in number of hours per week;numeric;;>=0;num;hours/week;No;;Observation;;2000000106;;hours/week;4047141;SNOMED;;;;;Date_habits;Non-standard unit
APOE;Pharmocogenetics findings;;;;;;;;;;;;;;;;;;;;;;;
;Pharmocogenetics findings;;APOE_Date;Date of assessment APOE;date;;;date;;yes;;;;;;;;;;;;;;
;Pharmocogenetics findings;APOE4 carrier;APOE_carrier;APOE e4 carrier ;factor;"1 = yes; 0 = no";"1;0";bool;;yes;;Observation;;2000000009;;;;;"yes;no";"4188539;4188540";;;APOE_Date;
;Pharmocogenetics findings;ApoE Genotype;APOE_genotype;APOE genotype;character;"1=2/2;2=2/3;3=3/3;4=3/4;5=2/4;6=4/4";"1;2;3;4;5;6";int;;yes;;Observation;;2000000010;;;;;"2/2;2/3;3/3;3/4;2/4;4/4";;;;APOE_Date;
"Amyloid;(P)Tau";Imaging & Laboratory test results;;;;;;;;;;;;;;;;;;;;;;;
;CSF dates;Date CSF collection;Date_LP;Date lumbar puncture;date;;;date;;No;;;;;;;;;;;;;;
;CSF;CSF Assay;CSF_assay_amyloid;CSF Assay Amyloid;factor;"1 = luminex; 2 = innogetics Elisa; 3 = Elecsys; 4 = Innotest";"1;2;3;4;5";int;;No;;Observation;;2000000011;;;;;"luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun";;;;Date_LP;
;CSF;;CSF_ab;Amyloid beta in CSF ;numeric;;>0;;"pg;ml";No;"Priority for 1. Amyloid Beta 1-42 in pg;ml                                                    2. Ratio Amyloid Beta 42;40                                                                                  3. Amyloid Beta 1-38 in pg;ml";;;;;;;;;;;;Date_LP;
